[##V]_0,[##V]_1,[AGENCY]_0,[AGENCY]_1,[CS]_0,[CS]_1,[UID]_0,[UID]_1,[YEAR]_0,[YEAR]_1
1,1,-1423174053,626678921,953624326,1606433984,-2113636675,-1884214812,1929612436,1604942391
1,1,607282392,1389483184,1316629934,-506827061,66676309,-1946790406,-1969966311,1050492269
1,1,94425885,-1314989488,-1823694863,-370883200,-1995396317,1278407480,941374023,-1387281324
1,1,-1922754285,1190876991,-1988060590,111218836,268634880,1363614585,1349841975,55067177
1,1,-1769143993,718949142,-90879824,-314932983,-1830466167,-739457884,301322554,753292699
1,1,288256858,-1282650963,1749755241,1639974618,1430758509,2108385846,-1382776147,1056097713
1,1,-136815403,713745365,1330818294,-1120534409,-173723059,238137501,2094957584,79671952
1,1,782147398,-701763632,-1422815972,94769628,-509057425,2033371505,417959021,2125094555
1,1,1400322421,1009182626,-1832189976,-596771907,-1628541693,-764550157,922746628,580359673
1,1,-1537919365,-610917772,-2003170780,838164676,1679501652,2138211090,-1801072671,-1703935324
1,1,-1116163560,1887698490,-259760457,-1544458064,-474833480,-661809748,-740962880,-912438669
1,1,2102746074,-911548247,1794415481,784246459,782649491,-577192703,-553022052,-1755924851
1,1,299277013,138539932,-808021468,-1055116179,350115223,-279275128,1219598361,-666923564
1,1,1762832589,1964603664,-442016916,726086817,1137814971,-1024045971,1801101435,1108960699
1,1,858604585,-2287822,-466922124,1621579494,-2016885990,1461351919,1161003833,1567335076
1,1,1601897092,-1329939147,-1712979927,593653639,-1517995178,426773303,195880980,1936957815
1,1,-1568899232,243276784,2016697726,1793262654,117289782,335024955,2091629380,-700675781
1,1,-1644530819,1484708963,888710696,-1670386522,-2075269905,-160235158,-1299109942,1039860712
1,1,1101679205,-1122861348,2009915421,-1027871500,961650709,-595886367,-1111323228,719871329
1,1,-530482490,-1337229298,1500710070,675109723,-524669875,1086100013,1498798943,1734999812
1,1,-784152932,428978390,-2016894189,350593074,-1927729145,947808631,-187108544,-577120964
1,1,999239555,-393988968,1350098205,2005065445,1223360010,1751473524,-785997216,1709570663
1,1,1163691005,-717023521,1025054123,-1410470305,1044441745,-1688769589,151419049,-699964305
1,1,-1315941432,1129437685,-1391778675,-548026057,-2146819687,-272953145,1583571083,-1875968972
1,1,5118637,1014184156,591917590,-240239422,2050113675,1468231,-197423159,-898419450
1,1,-337151229,-635879759,257488070,1377161282,1072525200,1709914481,1248799979,395566996
1,1,-2082424996,1154138183,1496112626,557736987,-1647880071,871394417,1151127274,903042996
1,1,-225381174,-223602638,-557033052,655072135,-401272773,-1190144483,-1378497540,1074192849
1,1,1448878814,2056717094,-2048934169,-1277189223,-1846764891,2094004159,388398931,19800695
1,1,1362148057,-1514309426,406562235,206280339,-1323559964,1126121241,-178972361,-1317287170
1,1,1317570663,-369340307,2077993717,376841949,-1710316667,-632084255,1596513406,-164060293
1,1,1476500075,-1042572246,470761401,-1912759337,463806611,-1591080393,560585483,1797802664
1,1,1926945274,1776433470,-979092811,-554449638,701974524,1429556002,-578362069,339690380
1,1,-176898045,1148427857,-841670563,-392306918,883288977,-1283076045,-212852628,1586774006
1,1,176181687,-1054905771,-1213867952,-1481626756,-554235888,383952564,-805190421,-830353841
1,1,-1348410625,-1022803095,-516592700,-1633064177,640260599,163173260,-410978936,2085825075
1,1,1519686762,1534249453,-921303746,-39032164,625782887,-385614592,2132776943,1592758626
1,1,-1886220994,-1939658949,1815007431,2115732353,-680686757,-802204355,-1129170386,-2086723142
1,1,579867744,-1949916652,1688819400,2053938417,-460095681,75585310,-1036112127,-927431732
1,1,-2072104201,111879120,1622008245,-1886865907,-932059686,899207591,-21514149,431117324
1,1,-1435397135,1620201736,959765134,42108018,882275153,1408204445,-294649474,805568969
1,1,-1071341227,-1022451617,-459467452,-1464943143,1819299669,818629087,-1365612585,-1740748350
1,1,-1538530432,-418844598,-406515786,-896044699,-687885023,-494365135,1868494901,1490205408
1,1,678256565,770659979,331338786,407430301,319543409,-1259615590,-1174385216,-1716770596
1,1,2068015771,1179145100,660692737,-226205012,1356778080,14611349,-557455056,1196403953
1,1,1690671379,-1808140391,1751713988,2127370194,-374427769,-547427191,-1140817324,922531930
1,1,583849908,1780974554,1099480399,-1651414416,355199068,-887371689,1498501210,-672570389
1,1,1620887324,1286097796,809783316,-296315039,-1976810237,-523217015,1632446994,-386536785
1,1,-839541249,404520889,2128207868,-206845728,1442192984,-1195028429,965732599,1773869611
1,1,-1070036959,-1536939884,1390552926,-1437145755,2083936949,-200424050,567369368,6522059
1,1,920038157,1436276732,455256812,-225129115,-317330244,40186423,-199493958,535230482
1,1,-443136675,-1081463559,-1913898250,1231125894,1098406051,-1171925299,1720526432,1144124525
1,1,-2095052944,1011779299,-132988609,-2086162306,719856352,807626137,874873952,100081919
1,1,1912238818,892148050,-327897185,-1839276981,1782364436,235224937,1956425268,1917059746
1,1,-1074286701,-2053882943,-1232331869,-1935497886,2026256673,1793433909,492952688,1322536459
1,1,820844850,-33635292,-559289841,984170671,-1753054028,-1560652308,-36522732,-1504181238
1,1,-46411205,-2098164748,-1786315318,476120588,1441169087,1639021058,-1625033706,-1575248625
1,1,1337629513,-1238329401,912461942,295096001,-1960593013,-2146162655,1739940011,-1173941541
1,1,484240838,1751255318,-504614771,-92762713,1419957592,918008426,-1692893255,-297733046
1,1,2006986385,-1843309340,1872069613,1440389672,945437954,1722257632,-1252457789,28850626
1,1,416390132,269887426,-1817953647,1618807078,1743869100,214371816,1537500716,-267743140
1,1,1931893055,-266812243,-181814496,-1195036755,274654023,-1300616670,551832005,-93549139
1,1,113121002,-1558214298,-956487490,537983953,-1824691483,-1476397294,2084659955,-456752635
1,1,-521012681,-861558374,-977747393,-511974415,-1933969435,535571092,1940473440,-418137423
