[##V]_0,[##V]_1,[##V]_2,[AGENCY]_0,[AGENCY]_1,[AGENCY]_2,[CS]_0,[CS]_1,[CS]_2,[UID]_0,[UID]_1,[UID]_2,[YEAR]_0,[YEAR]_1,[YEAR]_2
1077132985,-1958691398,1458517618,-1720908692,-130197652,577487715,477636323,-1453777598,1073100722,1458753633,-1659680610,-2045962112,344543378,-906421764,-1636090484
1563765718,-1351928441,140621540,251609299,330253858,1384384241,1037055289,-1681390007,-308511663,819189923,118110571,661687200,249293762,-2095324881,644303918
-1885870111,-766697931,-369981963,-742699024,-1611970398,-900568181,-1312090301,1221191499,764376356,63298805,-82485528,-1453321675,1274770797,1360480764,851916425
504963287,1215773115,1733607701,2053867740,1830813533,442124234,-1165066391,1890686831,-1933264396,-2042812662,1232833790,369880367,1631085234,-982142062,1565304063
871702913,-893327844,-928274671,-1657183744,-1377111596,1774250558,992615475,1786630741,-2068631281,-1507621352,-1636733781,1871847662,1897025504,1936579381,15712070
-954177997,904340935,499226770,-316095277,1417847807,-2031478773,157297522,326041876,-1880455802,-1446096607,2130740100,49769681,872451329,-1351037132,1419452982
2102574310,-1961869804,-1839438240,-2064336763,-1955891577,-2090920233,1584390103,-1167029606,1979839108,-233191986,835436153,1862715936,-53506070,33089377,240812432
239544004,1738768737,-1868373051,-536521481,254502898,-1723280051,-197341436,-1411216540,1434881535,1001825643,-1275001565,-2128680506,708213329,1265631248,-152107717
-933038106,622617667,1171909192,1122623417,-116018846,146437503,-1427908585,-1074192755,281857513,1666568853,1349583283,-713885220,-1159650416,2038131764,-195857232
-1488145050,775374900,-356457750,725030212,-480022195,605373922,-1081963623,1046742593,-1105811905,-1291359245,-22674000,912972651,769740796,763725167,1938147554
1592893161,569738262,-863313999,-795611564,1921263147,289117753,-1010130445,951355046,-1666087443,2114902787,-996268270,689210447,-1756015680,-1093572951,839458365
-1080128303,-563871322,-2067286248,-526869478,1177645114,-779893373,-1299781716,-83083765,-194196216,382401794,-607256610,-1471999200,-4034359,838583393,604671556
-1664545873,-1492908576,1385466258,-236435250,426136002,-1429512085,2065821360,-1942932863,1219486780,-392653317,-814430074,-1971658550,22809873,727535875,2041249767
411800639,326409229,-314296544,759650713,-1729656806,-969994589,-407918684,-1342149317,1824608273,2066732076,-1227534474,-2075409128,376328411,-2102412156,1665859804
1102882517,1850686166,-989251251,-434212892,-1467491790,1316360099,1370386188,1026275240,1645678614,-388262899,-1740039602,-1317238777,-2069608955,27266753,591751921
1949969341,-580730064,-93096723,1098915380,929078481,1743367417,1623114291,439080007,-1470783325,-755115211,-1160673167,1276955157,-359498382,-695770355,-422709340
-755375094,341708194,-2036642882,-567061618,-1011166679,195879455,1277115866,550971299,1293617664,257119931,649098920,-1930466173,1931725444,-1617959965,496866211
