[##V]_0,[##V]_1,[##V]_2,[AGENCY]_0,[AGENCY]_1,[AGENCY]_2,[CS]_0,[CS]_1,[CS]_2,[UID]_0,[UID]_1,[UID]_2,[YEAR]_0,[YEAR]_1,[YEAR]_2
-1650707088,1077132985,-1958691398,1127977056,-1720908692,-130197652,-1965617532,477636323,-1453777598,1307345015,1458753633,-1659680610,1124823813,344543378,-906421764
-96491340,1563765718,-1351928441,1339293698,251609299,330253858,1266961917,1037055289,-1681390007,279538286,819189923,118110571,-1415102171,249293762,-2095324881
-1272415200,-1885870111,-766697931,-2046661413,-742699024,-1611970398,-728922298,-1312090301,1221191499,1370525728,63298805,-82485528,673910270,1274770797,1360480764
825940088,504963287,1215773115,221130824,2053867740,1830813533,1190875939,-1165066391,1890686831,-649247009,-2042812662,1232833790,-117345735,1631085234,-982142062
832462989,871702913,-893327844,1494448616,-1657183744,-1377111596,-706413448,992615475,1786630741,1472252506,-1507621352,-1636733781,43002997,1897025504,1936579381
-284763289,-954177997,904340935,1061191460,-316095277,1417847807,-1780110089,157297522,326041876,-734413200,-1446096607,2130740100,-807180315,872451329,-1351037132
1679746195,2102574310,-1961869804,-1933518636,-2064336763,-1955891577,-1843485392,1584390103,-1167029606,-1395347055,-233191986,835436153,-210899203,-53506070,33089377
-112835487,239544004,1738768737,1986455115,-536521481,254502898,173591383,-197341436,-1411216540,245975439,1001825643,-1275001565,-1750501219,708213329,1265631248
-1465419284,-933038106,622617667,-1287251034,1122623417,-116018846,97913107,-1427908585,-1074192755,-430560520,1666568853,1349583283,935935219,-1159650416,2038131764
1673207737,-1488145050,775374900,-331275798,725030212,-480022195,1072703685,-1081963623,1046742593,2076947744,-1291359245,-22674000,1944126870,769740796,763725167
-1282489009,1592893161,569738262,-1288937913,-795611564,1921263147,1741660658,-1010130445,951355046,-1820034979,2114902787,-996268270,462236851,-1756015680,-1093572951
-448972178,-1080128303,-563871322,1999251873,-526869478,1177645114,-1108994473,-1299781716,-83083765,1698959861,382401794,-607256610,-365740790,-4034359,838583393
1767475164,-1664545873,-1492908576,1111849316,-236435250,426136002,-1077986539,2065821360,-1942932863,-1382629965,-392653317,-814430074,1403757586,22809873,727535875
