-1117504520,1276846886
-1104661928,1508573737
-1654154937,-802168002
524737724,537997602
1408081875,-1074717368
1809903454,908209679
1128251958,1063121965
-2016395395,683682767
-457938520,1096395205
1184782643,1553930298
-2141174746,204547803
-2015923321,1680753772
-1768364105,632042566
2064250236,420012400
-955117901,1367859689
1401554875,2004278513
218936893,-799203583
-1694348859,715595787
776417681,-1379904464
-1285073031,579701120
-1364261539,1437506891
-1441037636,-1802909730
803771622,-912357226
-386320935,30273429
1457636043,913074087
1610246270,-1503358161
992137723,-341788294
-83228871,-603147836
1728490029,2077931574
1462918509,-843541355
-1773677682,13573764
1071771869,-202904974
