Salary_0,Salary_1,YearsExp_0,YearsExp_1,[##V]_0,[##V]_1,[Academia]_0,[Academia]_1,[Degree]_0,[Degree]_1,[Region]_0,[Region]_1
2108247067,370819136,-1251208799,2117587090,0,0,-1642598174,836633205,-533836411,1796237282,-1744739827,-539957079
660084231,-1069736070,168709965,40747908,0,0,1937156055,505705953,-1383190014,-242707962,1526124598,38719496
1893329669,429373167,-1152955201,1602214397,0,0,-1079827782,-712948474,1401305833,-1845323858,-55954755,-767219985
887474239,1191818400,-1506090385,1512518959,0,0,1858204354,-896498744,1892863345,-1816966892,1656155331,-958915095
911209985,1582874933,-858180782,-2139625523,0,0,854778129,970410122,-1754982176,1012977544,-1901878426,-1756659394
1927912943,1253457111,-226869940,1837885666,0,0,-1280346912,-53930903,-953812705,-794434093,-1722830132,1347599713
-1793039656,-1393798838,-480861988,-1087240344,0,0,-502247236,508557099,-150620908,1281515831,1729075243,1553032566
-585749995,-308114477,1896547480,-1361982306,0,0,-1713701395,2085890382,-417732717,797466323,-140032757,-1118546407
-1547142970,161329414,-877070475,1964801463,0,0,-583141588,-1891700298,212697512,-1942809593,200806076,-1112463192
1446710589,-2065687408,-1605096737,-471514922,0,0,-652585517,917552783,-1523913024,1159275809,-786053509,758493435
-1709572674,1414102709,-1760627564,-1841179046,0,0,-1870692461,756983905,1244851560,763410505,86191065,-949986946
-580603579,-241970190,-754925054,1218579133,0,0,421845824,-971595373,348061871,1903185043,2065859408,-41073875
-1637246385,-1969104455,-588948663,-1423962971,0,0,-561999435,-354457920,-1671219548,220959724,1896899969,-1340064594
2034228410,1830900791,-1778278254,-739835827,0,0,408098261,-2114230759,-1681212535,1154501883,2122384020,709665493
-1933611993,1943430957,-1793578618,1011594557,0,0,148467976,-1921997010,-1588627948,-843849315,516407679,-305887912
-1483942736,-122349347,1783124614,-892529322,0,0,-1413421864,657618725,-1551227668,770907503,-1356189539,-1543666224
-1880782124,-1846467555,-1714825956,-1662758981,0,0,859724472,-544114450,-712261869,1745354367,670261102,2127716079
1700378584,1830016529,-1157100307,2076583463,0,0,-529411671,2037896182,-1382294071,-2135270771,93601780,1542807017
2132147132,-1544997159,-1976382183,1767834116,0,0,-1418206083,878474412,1902640106,889081439,1830200377,1016646592
286633070,-1273489529,1794289859,-1304819445,0,0,-2076155220,1735088551,-1390269192,-1784561233,472407220,-1470897996
1662986587,965087697,-2041746953,-1094872199,0,0,1066227180,1659784968,-75640303,-2051823790,-382582904,-587135274
-2092912559,-244213946,-113500288,2128969865,0,0,-1031532688,999400519,-2146139660,2110767733,-1474268874,638403677
1999229144,-1039412904,582700205,-1980599128,0,0,1738199624,706327161,607225771,-897334925,57909313,-1230085021
1512227319,845335033,-1402892144,-1615412964,0,0,-702963252,977864014,237490965,-499182799,-1129809091,-1690538323
1893123337,1226979333,1723561760,1076727302,0,0,329657843,1063805274,327452568,-215791430,-2116248929,-17054424
49551566,2126431586,893567288,1474930116,0,0,-1773973612,836468577,268047188,-1112915862,910223033,594488669
-228794511,-1868717171,2126260983,1580900889,0,0,1662079301,-1335892633,1208485400,-1175661717,-1646106964,-940159150
789867566,1538482993,-1883712239,-1173472446,0,0,-1825382856,1740314280,-1294673730,-1763285995,-287209713,-369992571
2090466371,260030064,-568849472,-918908771,0,0,293538801,-382255467,180581248,-459004415,-1440586441,-1143682308
-884655172,2097124812,-922800746,1407360233,0,0,-30454240,1640028984,-282169571,-642279144,716123184,696252505
1729016687,2069211887,-937053224,730042313,0,0,-1598451405,557376416,-859192649,-2016307827,275001156,-535091789
1202739678,-1992837437,-1801262418,1712031880,0,0,1684153107,-540023846,506882664,310807943,-1759367652,494161244
-1980870739,941749532,908480155,2031491777,0,0,-112138241,1531067853,831769720,-68070632,-1059196626,-1211691642
-107483966,-1110234825,1924087061,-843829309,0,0,-905073079,1652771737,-51189999,-1626926066,1760627819,-449600416
-160493249,-1770288949,-1406293225,-1577478976,0,0,-488077550,-1931792413,-1228940610,1391037407,-835385132,-1641329416
2138724947,-1829983728,-1530751614,1814788762,0,0,-895191277,-1877729997,-1886780483,1295885464,-1480468731,-874876167
1327992302,1530567465,-1371116645,1170958329,0,0,-1981649899,861491927,1604427260,658131228,-1454127696,2054323443
1402388939,1340104168,-1881803744,-1779259181,0,0,201426676,-372020229,1653695171,981456621,820030298,430687303
-524534580,-77495003,1559213738,1832490440,0,0,-1732901922,85923874,1398390773,911311291,-1546067517,1526106348
1978057154,108026685,304953995,-1351349896,0,0,2050665383,799808088,-57628399,-194309835,-2092785964,1615694246
1942347177,521112386,1652407899,-788921126,0,0,-895157179,-367850666,136530387,2026250443,1463047647,1994662549
-889920843,713096352,1948520089,2088247083,0,0,-122563236,-1172623710,-1142260757,-311320704,248061469,1399201882
-696483638,-1672468008,-710571663,-1521670693,0,0,129938193,1568880966,-1513529507,1189909758,1148336686,648688694
1170208203,792769887,1820575651,-898958925,0,0,-676601425,251369502,837559255,868494909,-1731156535,735317505
-1890235270,1048960317,-1490404091,-435635817,0,0,-1439793671,1143520313,-350399966,1785302896,-149825442,-298481411
1629142227,1783498189,841961788,-2134373913,0,0,-618935599,-1826776472,-1451864326,1081979068,1042625568,1917852914
-343530440,-117007333,1259032385,-1697137227,0,0,611682084,-2055919552,-1421918918,910384764,1486926975,859476606
-70242841,1789318143,-1090112674,1003766079,0,0,-2062474068,444946722,-1115745710,1122172330,-1342486065,-650965624
264972927,-1754593120,1522730702,391945974,0,0,-383560906,-381129763,697223294,-1971785281,-932724010,-2129342660
